is_std,ftd_price,max_win_multiplier,avg_total_wins,avg_wager,wildball_silver_rate,wildball_specia_diamond_rate,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,min_win_multiplier,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_gold_rate,wildball_emerald_ruby_rate,vv_completed_rate,,,,
1,4.99,346.07,0.33,569820.82,0.47,0.06,0.14,6,150.76,38.67,0.88,1.21,0.56,322,1063,11,0.2,0,0,0.35,0.12,1,,,,
1,4.99,113,0.42,2754583.18,0.36,0,1,3,56,5,0.75,1.09,0.5,67,184,0,0.5,0,0,0.45,0.18,0.67,,,,
0,9.99,14.93,0.39,698561.53,0,0,0,0,5.21,0.33,0.29,0.58,0.13,145,223,87,0,0,0,0,0,0,,,,
0,4.99,228.45,0.51,405542.51,0.6,0,1,379.38,53.23,7.24,0.87,0.94,0.76,6,12,0,0,0,0,0.2,0.2,0.5,,,,
1,49.99,173.64,0.32,1104549.12,0.21,0.4,0,0,88.94,56.33,0.85,1.1,0.63,2412,5272,601,1,0,0,0.32,0.08,1,,,,
0,9.99,118,0.29,975811.27,0.07,0.57,0,0,67.73,1,1.01,2.96,0.11,251,527,77,0,0.25,0.13,0.29,0.07,0.63,,,,
1,4.99,139,0.32,220971,0.5,0,1,361,110.16,85.13,0.75,0.81,0.67,30,78,1,0,0,0,0.5,0,0,,,,
0,4.99,205.7,0.35,111762.64,0,0,0.88,104.25,119.94,66.67,0.92,1.5,0.69,119,402,0,0,0.13,0.13,0,0,0,,,,
0,4.99,110.01,0.36,1222050.64,0.63,0,0.83,9.33,39.68,3.33,0.63,1.11,0.22,89,179,0,0,0.33,0,0.38,0,0,,,,
1,4.99,50,0.55,212081.09,0.67,0,0.67,2,34.5,19,0.69,0.76,0.63,8,14,2,0,0.33,0.33,0.33,0,0.33,,,,
0,9.99,250,0.37,199010.3,0.38,0,0.6,181.8,114.74,54.82,0.79,0.85,0.69,29,59,0,0,0.4,0,0.48,0.14,0.8,,,,
0,4.99,147.5,0.37,1062501.78,0.4,0.1,0.25,2.75,77.31,36.78,0.93,1.31,0.54,162,419,37,0,0.25,0,0.3,0.2,0.5,,,,
1,4.99,114.2,0.43,514785.03,0.5,0.1,0.33,91,83.93,36.6,0.93,1,0.82,287,600,74,0,0.67,0,0.3,0.1,0.33,,,,
0,4.99,130.63,0.41,434728.54,0.21,0.03,0.13,0.25,78.83,16.8,0.87,1.06,0.64,3134,5138,130,0.25,0.13,0.13,0.56,0.21,0.63,,,,
1,4.99,199,0.39,243420.04,0.46,0,0.67,99.17,94.9,52.27,0.82,1.07,0.53,183,350,0,0.33,0,0,0.41,0.13,1,,,,
0,9.99,29.18,0.43,3420371.22,0.5,0,0,0,19.73,5,0.82,1.12,0.64,150,399,10,0,0.33,0,0,0.5,0.33,,,,
0,4.99,166,0.37,677481.17,0.5,0,0.33,0.67,121.33,98,0.87,0.96,0.79,127,159,83,0,0.33,0.33,0.17,0.33,0,,,,
0,9.99,212.07,0.29,769213.99,0,0,0.67,1.67,106.03,0,0.4,0.8,0,1,2,0,0,0,0,1,0,0,,,,
0,4.99,64.8,0.44,1719511.07,0,0,0.5,0.25,35.02,2.3,0.79,0.98,0.51,23,35,0,0,0,0,1,0,0,,,,
1,24.99,220.12,0.39,10679496.68,0.46,0.08,0.4,1,94.14,10,0.91,1.16,0.58,180,407,0,0.2,0,0,0.38,0.08,0.6,,,,
0,4.99,121.67,0.31,1337639.12,0,0,0.25,0.25,97.42,84.75,1.01,1.05,0.94,256,402,55,0,0,0,0,0,0,,,,
0,4.99,129.5,0.41,247806.73,0.4,0.6,0,0,73.28,25,1.02,1.54,0.57,148,199,103,0,0,0,0,0,0.2,,,,
