is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,0.29,4,96.51,197.67,0,0.23,203450.91,0.89,3.13,0,523,2176,0,0,0.14,0.14,0.33,0.5,0.17,0,0.29
0,4.99,0.75,0.63,25.58,135,0,0.32,724220.24,0.39,0.9,0,1,2,0,0,0,0,0.36,0.27,0.36,0,0
0,4.99,0.75,0.38,24.84,105.43,0.08,0.35,231018.8,0.42,0.85,0.04,32,167,0,0,0.13,0,0.67,0.33,0,0,0.13
0,24.99,0.33,0.67,148.77,352.5,43.8,0.49,1622368.75,1.17,1.56,0.61,1181,2967,7,0,0.33,0,0.43,0.29,0.14,0.14,0.33
1,9.99,0,0,97.07,151.62,67.61,0.49,110939.98,0.91,1.14,0.7,937,1330,714,0,0.2,0,0.6,0.23,0.12,0.06,1
1,4.99,1,82,135.75,253,72.9,0.35,118983.32,0.81,0.86,0.78,101,248,0,0,0.67,0,0.44,0.31,0.19,0.06,0.67
0,9.99,0.13,0.38,32.1,50.5,6.67,0.37,1822148.63,1.2,2.88,0.42,127,212,46,0,0.13,0.25,0.33,0.33,0.11,0.22,0.5
1,24.99,0.33,0.33,137.31,172,81.8,0.41,339775.41,0.96,1.29,0.66,1690,2610,1056,0,0,0,0,1,0,0,0
1,4.99,0.33,0.17,32.34,73.5,0,0.42,1770828.53,0.72,1.49,0,57,220,0,0,0.17,0.17,0,0,1,0,0.17
1,9.99,0.5,22,67.58,144,22.22,0.33,211031.91,0.67,0.81,0.46,439,1395,0,0,0.25,0,0.55,0.27,0.18,0,0.75
0,9.99,0.38,20.5,79.05,175,25,0.35,157093.65,0.81,1.06,0.59,199,580,10,0,0.13,0,0,1,0,0,0.13
0,4.99,0.88,5.75,18.61,56.67,0,0.36,792200.12,0.5,0.85,0,10,37,0,0,0.25,0.13,0.5,0.5,0,0,0.25
0,4.99,0.67,3,15.07,27.73,2.4,0.29,962485.91,0.38,0.49,0.28,0,0,0,0,0,0,1,0,0,0,0
1,4.99,0.86,79.14,102.15,221.36,8.73,0.35,209580.77,0.77,0.89,0.37,42,166,0,0.33,0,0,0.41,0.44,0.13,0.03,0.71
0,2.99,1,82,78.41,260.5,3,0.36,182559.61,0.57,0.76,0.37,4,13,0,0,0.25,0.13,0.56,0.22,0.22,0,0.75
1,24.99,0.8,9.4,133.92,401.5,6.08,0.42,14807637.8,0.9,1.13,0.61,272,544,0,0,0,0,0.57,0.29,0.14,0,0.2
1,24.99,0.67,0.67,156.46,301.88,42.9,0.35,3712162.14,0.93,1.3,0.51,243,539,0,0,0.33,0,0.45,0.45,0.09,0,0.67
0,9.99,0.13,0.25,96.28,288.57,3.2,0.34,1520672.76,0.91,1.52,0.13,190,365,15,0.33,0.25,0,0.23,0.15,0.08,0.54,0.38
0,9.99,0.5,0.5,52.64,97,26.5,0.37,1037788.51,0.87,1.04,0.73,153,223,0,0,0,0,0,0,0,1,0.75
1,9.99,0.33,0.33,50.99,113.83,6,0.34,2963045.1,0.89,1.3,0.27,347,815,67,0,0.33,0,0,0,0,1,0
0,4.99,0.14,0.14,55.74,109,14.83,0.4,417467.48,1.02,1.96,0.55,115,227,37,0,0.14,0.14,0.44,0.38,0.13,0.06,0.14
1,4.99,0.2,0.2,29.06,50,10.2,0.39,148976.46,0.75,1.03,0.52,565,968,269,0,0,0,0,0,0,0,0
0,4.99,0.86,2.29,58.37,213.33,0.63,0.34,499216.08,0.63,0.92,0.16,18,38,0,0,0.43,0.14,0.57,0.21,0.14,0.07,0.14
0,4.99,0.67,1.5,14.37,44.2,0.1,0.54,350233.94,0.46,0.84,0.05,0,0,0,0,0,0,0,0,0,0,0
1,4.99,0.83,4.5,36.95,119.68,3.67,0.42,848909.66,0.56,0.92,0.24,10,33,0,0,0,0,0,0,0,1,0
1,4.99,0,0,250.35,287.07,213.4,0.28,561749.33,0.96,1.11,0.84,789,1649,8,0,0,0,0.42,0,0,0.58,1
0,4.99,1,1,38.75,96.95,5,0.4,286797.76,0.58,0.83,0.36,19,56,0,0,0.25,0.25,0.5,0.25,0,0.25,0
1,24.99,0.17,0.17,27.49,69.94,0,0.47,11397819.43,0.84,1.25,0,103,203,36,0,0,0,0,0,0,0,0
0,2.99,0.88,68.13,102.28,169,55.4,0.34,298070.27,0.9,1.11,0.76,136,445,0,0.2,0.25,0,0.54,0.33,0.07,0.06,1
1,9.99,0.17,0.33,94.31,153,33,0.41,518688.01,0.95,1.4,0.56,2865,5879,57,0.2,0,0,0.55,0.3,0.15,0,0.33
0,4.99,0.63,2.5,56.06,176.9,18.36,0.4,123603.34,0.93,1.97,0.7,43,123,0,0,0,0.13,0.5,0.38,0.06,0.06,0.5
0,9.99,1,0.75,17.69,59,0.25,0.41,636281.4,0.47,0.76,0.07,1,2,0,0,0,0,0,0,0,0,0
1,9.99,0.33,0.67,64.94,69,60,0.4,351598.27,0.99,1.43,0.72,154,231,28,1,0,0,0.33,0.5,0.17,0,0.67
0,24.99,0.43,10.14,70.56,119.37,30,0.43,561488.29,0.76,1.08,0.47,71,217,4,0.14,0,0,0.56,0.39,0,0.06,0.43
1,4.99,0.2,0.8,17.43,33.73,0,0.36,661599.86,0.63,1.19,0,107,368,0,0,0,0,0.33,0.67,0,0,0
1,4.99,0.75,2.25,11.43,40.87,1.07,0.21,280325.24,0.25,0.47,0.09,0,1,0,0,0,0,0,1,0,0,0
0,4.99,0.25,0.5,79.2,150.55,39.43,0.35,4779259.15,1.14,1.67,0.62,213,448,0,0,0,0,0.64,0.29,0.07,0,0
0,9.99,0.25,0.13,9.33,32.4,0,0.22,1487851.53,0.41,0.79,0,12,49,0,0,0,0.13,1,0,0,0,0.13
1,4.99,1,4.2,50.9,134.5,5.6,0.36,912829.43,0.69,0.86,0.29,2,5,0,0,0.2,0.2,0.57,0.43,0,0,0.2
0,4.99,1,153.6,68.11,93.1,47.8,0.38,125747.89,0.77,0.88,0.73,8,24,0,0,0,0,0.33,0.53,0.13,0,0.4
1,4.99,1,1,16.78,33,4,0.32,1289445.28,0.44,0.63,0.28,0,0,0,0,0.33,0,0,0,1,0,0
1,9.99,0.67,1.33,60.68,65.35,56,0.34,703700.48,0.71,0.92,0.5,1,3,0,1,0,0.33,0.33,0.67,0,0,0.33
0,4.99,0.6,11.6,38.83,82.67,3.41,0.31,272863.68,0.67,1.01,0.29,40,102,0,0,0.8,0.2,0,0.67,0.34,0,0
0,24.99,1,5.75,49.22,121.4,3.67,0.31,781571.07,0.54,0.91,0.31,38,99,8,0.33,0,0,0.77,0.23,0,0,0
1,24.99,0.88,14.88,70.15,148.64,1.1,0.38,812485.97,0.71,1.17,0.11,182,362,0,0,0.38,0.13,0.44,0.44,0.13,0,0.38
0,4.99,0.71,2,51.11,89.88,17.6,0.31,380858.06,1.48,5.53,0.58,61,116,0,0,0.14,0,0.47,0.4,0,0.13,0.14
0,24.99,0.5,12,141.15,396.95,16,0.4,782315.85,0.82,2.16,0.05,544,1517,43,0,0.25,0.25,0.67,0.33,0,0,0
0,4.99,0.38,0.38,77.17,174.8,5,0.48,411481.99,0.78,1.11,0.4,36,135,0,0,0.25,0.25,0.44,0.44,0.11,0,0.25
1,4.99,0,0,93.92,167.43,17.13,0.46,455669.02,0.92,1.56,0.67,239,1090,4,0.5,0,0,0.46,0.38,0.16,0,0.86
1,24.99,0.75,0.75,43.95,101.3,3,0.36,387256.13,0.56,0.73,0.38,14,56,0,0,0,0,0.33,0.67,0,0,0.25
0,4.99,0.71,5.71,62.76,152.5,18.45,0.39,780613.86,0.73,0.81,0.47,1,2,0,0,0.29,0,0.11,0.44,0.33,0.11,0.57
0,4.99,0.13,0.25,41.86,76,3,0.44,831528.19,0.83,1.38,0.31,261,656,116,0,0.38,0.25,0.4,0.4,0.1,0.1,0.5
0,24.99,0.67,32.67,70.74,81.82,63.75,0.34,1332136.98,0.68,0.78,0.59,596,1513,0,0,0.33,0,0,0,0,0,0
0,4.99,0.13,2.25,88.94,334.91,7,0.36,65440.67,0.87,1.77,0.32,356,671,96,0,0.13,0,0.44,0.48,0.04,0.04,0.63
1,24.99,0.2,0.2,76.84,117.5,56.5,0.41,624474.7,0.88,1.03,0.74,191,323,15,0.75,0,0,0.4,0.52,0.06,0.02,1
0,4.99,1,2.67,114.25,258.75,2,0.37,387890.62,0.71,0.95,0.3,0,1,0,0,0.33,0,0.4,0.5,0,0.1,0.33
1,4.99,1,1.75,59.7,143.55,9.18,0.39,1071897.53,0.65,0.94,0.28,2,8,0,0,0.25,0.25,0.56,0.33,0,0.11,0.75
0,4.99,1,109,132.98,327.27,32.9,0.44,128335.98,0.82,0.93,0.6,68,203,0,0,0.5,0,0.86,0.14,0,0,0.5
0,4.99,0,0,67.26,121.02,18.85,0.32,240650.76,0.95,1.5,0.53,387,590,229,0.5,0,0,0.31,0.38,0.12,0.19,0.75
0,9.99,0.57,4.57,25.3,56.5,1,0.32,2567983.3,0.63,0.98,0.12,95,237,0,0,0.14,0.14,0,0.43,0.43,0.14,0.14
0,4.99,0.83,40.5,54.76,117.93,13.33,0.24,139984.66,0.52,0.84,0.21,30,130,0,0,0,0.17,0.3,0.4,0,0.3,0.17
1,4.99,0.67,9,115.95,271.62,26.3,0.42,3782307.21,1.06,1.68,0.64,157,499,0,0,0.17,0.17,0.14,0.57,0.14,0.14,0.33
1,4.99,1,17,40.87,67.07,0.53,0.32,274905.18,0.53,0.86,0.03,0,0,0,0,0.33,0,0.5,0.5,0,0,0
1,9.99,1,1.5,35.01,70,0.68,0.27,1104758.77,0.53,0.83,0.1,0,0,0,0,0.5,0,0.5,0.25,0.25,0,0
0,4.99,0.75,20.63,96.04,246,9,0.53,309081.05,0.8,1.08,0.34,82,221,0,0.67,0.25,0,0.56,0.32,0.12,0,0.88
0,4.99,0.5,90.5,190.66,400,100,0.5,484856.61,1.05,1.66,0.84,433,1164,21,0.5,0.5,0.25,0.43,0.43,0.14,0,0
0,9.99,0.29,0.43,179.39,593.98,35.8,0.34,145010.87,0.88,1.02,0.66,1726,3172,0,0.5,0.43,0.14,0.47,0.43,0,0.1,0
0,4.99,0.63,9,65.53,165,8.87,0.38,119381.07,0.7,1.06,0.39,35,119,0,0,0.13,0.13,0.5,0.42,0,0.08,0.38
0,4.99,0.29,0.43,50.5,93.47,19.05,0.33,245766.82,0.65,0.77,0.33,65,208,0,0,0,0.14,0.6,0.2,0.1,0.1,0.14
0,4.99,0.38,7.63,136.08,500,1.5,0.38,259588.09,0.87,1.78,0.24,173,384,0,0,0.25,0,0.5,0.5,0,0,0.63
1,24.99,0.38,53.75,109.68,145.4,68.33,0.25,279457.49,0.68,0.85,0.46,285,1333,0,0,0.13,0.13,1,0,0,0,0
0,4.99,1,138.25,58.32,133.5,6,0.48,113110.9,0.71,0.91,0.6,20,62,0,0,0,0.13,0.25,0.67,0,0.08,0.63
0,4.99,0.67,0.33,19.62,28.53,10.7,0.29,692793.95,0.45,0.46,0.43,11,22,0,0,0.33,0,1,0,0,0,0
0,4.99,1,0.25,10.77,31.87,0.2,0.52,5309869.01,0.46,0.9,0.08,50,101,0,0,0,0,1,0,0,0,0
1,4.99,0.57,0.86,177.55,852.28,9.26,0.23,951493.07,0.75,1.12,0.44,138,377,0,0,0,0.14,0.5,0.43,0.07,0,0.29
1,4.99,1,479,151.5,173.55,135.91,0.37,278029.42,0.8,0.9,0.75,2,7,0,0,0,0,0.41,0.48,0.11,0,1
0,4.99,1,7.33,60.36,178.67,0.8,0.39,796041.95,0.46,0.86,0.09,0,0,0,0,0,0,0,0.67,0.33,0,0.33
0,4.99,0.8,5,31.37,62.33,9,0.35,127172.6,0.66,1.08,0.36,52,98,0,0,0.2,0.4,0.5,0.17,0.33,0,0
1,9.99,0.25,0.25,118.35,177.8,61.5,0.4,273646.76,0.93,1.28,0.74,788,1367,4,1,0,0.25,0.29,0.71,0,0,0.5
0,9.99,0.25,0.25,21.49,44.8,7.04,0.47,46792.59,0.69,0.86,0.29,4870,5531,3947,0,0,0,0,0,0,0,0
0,4.99,0.4,0.8,88.79,142.17,42.5,0.34,589332.43,0.9,1.34,0.65,276,757,0,1,0,0,0.4,0,0.4,0.2,0
0,4.99,1,220.63,285.24,1666.67,22,0.25,278948.49,0.68,0.94,0.37,20,78,0,1,0.25,0,0.42,0.42,0.14,0.03,1
0,24.99,0,0,18.62,58.27,3.67,0.47,1999056.87,1.89,9.13,0.52,141,331,47,0.67,0,0,0.13,0.75,0.13,0,0.13
0,4.99,0.25,13,68.23,126.6,33.13,0.36,155904.11,0.89,1.38,0.65,335,563,180,0,0,0,0.4,0.6,0,0,0
0,4.99,0.13,2.13,93.69,151.38,65.68,0.35,337967.62,0.99,1.25,0.71,442,551,240,1,0.13,0,0.47,0.47,0.05,0,0.38
0,9.99,0.33,0.33,99.87,99.87,99.87,0.37,855722.31,0.87,0.87,0.87,0,0,0,0,0,0,0,0.25,0,0.75,0
1,9.99,0.5,0.75,91.27,203,13.33,0.31,938691.59,0.79,0.9,0.5,63,174,0,0,0,0.25,0.5,0.5,0,0,0
0,9.99,0,0,94.54,196.03,51.65,0.33,249780.22,1,1.6,0.62,970,1283,782,0,0,0,0.42,0.58,0,0,1
1,49.99,0.13,4.38,109.86,169.88,40.45,0.38,941551.55,0.85,1.01,0.75,1471,6626,49,0,0.25,0,0.42,0.45,0.12,0,0.75
0,24.99,0.13,0.25,92.07,124.75,50,0.37,1099264.99,0.86,0.95,0.66,484,2195,204,0.6,0.13,0,0.4,0.43,0.04,0.12,0.13
0,4.99,0,0,100.83,525,13.3,0.33,1595001.76,2.06,11.32,0.45,777,1216,409,0,0.38,0.13,0.08,0.17,0,0.75,0.75
1,4.99,0.5,31,92.99,158.87,58.28,0.42,742828.28,0.92,1.21,0.7,357,860,16,1,0,0,0.25,0.33,0.08,0.35,0.83
0,4.99,0.67,5.17,20.52,44.67,3.67,0.38,289752.68,0.66,0.93,0.35,21,49,0,0,0.17,0.17,0.67,0,0.33,0,0.33
1,9.99,0.33,0.33,60.53,99.28,25,0.41,200964.84,0.75,0.9,0.63,322,461,225,0,0,0,0.17,0.83,0,0,0.33
1,4.99,0.67,1,101.08,312.67,0.4,0.34,275817.15,0.67,1.18,0.07,195,500,0,0.67,0.33,0,0.38,0.5,0.12,0,0.33
0,24.99,0.13,1.38,24,24,24,0.29,2331514.66,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0
0,4.99,1,6.25,41.46,107.49,12.09,0.35,1153266.51,0.68,1.1,0.43,140,280,0,0,0.25,0.25,0,0,0,1,0.25
0,2.99,1,80.25,84.78,115.91,65,0.37,103783,0.79,0.88,0.64,8,24,0,0,0.25,0.25,0.67,0.33,0,0,0.25
0,24.99,0.14,0.86,72.1,102.07,15.79,0.32,203162.66,0.61,1.4,0.13,1155,2727,255,0,0.14,0.14,0.5,0.5,0,0,0
1,9.99,0.25,0.75,174.71,333.41,22.73,0.33,129086.19,0.84,1.21,0.51,1105,2778,348,0,0.25,0.25,1,0,0,0,0.25
1,24.99,0.4,0.6,30.7,71.83,5.3,0.43,5376518.22,0.68,0.99,0.41,358,1289,0,0,0.2,0.2,1,0,0,0,0.4
1,24.99,0.5,0.75,149.57,218,92.5,0.38,1166009.49,1,1.39,0.39,1068,1624,51,0.5,0.5,0,0.59,0.35,0.06,0,1
0,4.99,0.63,61.63,59.8,183.5,19.5,0.37,132376.74,0.72,1.14,0.54,41,155,0,1,0,0,0.64,0.21,0.14,0,0.75
0,4.99,0.25,0.5,24.86,37.33,11.25,0.38,509561.64,0.66,0.77,0.47,122,248,42,0,0,0,0.5,0.5,0,0,0
0,9.99,0,0,51.1,52.2,50,0.41,345285.52,1.03,1.07,0.99,482,616,349,0,0,0,1,0,0,0,0.17
1,4.99,0,0,143.4,216,70.8,0.33,143933.05,0.8,0.88,0.73,163,285,41,0,0,0,0,0.5,0.5,0,0
1,4.99,0.25,0.25,30.9,41.4,6.75,0.37,107108.65,0.59,0.76,0.4,169,344,60,0,0.25,0.25,0.25,0.75,0,0,0.5
0,4.99,0.2,0.2,50.12,81.6,21.1,0.34,1742532.21,0.8,0.94,0.6,15,32,0,0,0,0,0,0,1,0,0
1,9.99,0.5,0.5,57.07,239.87,0,0.32,1053894,0.5,0.95,0,107,326,0,0,0.25,0.13,0.25,0.25,0.5,0,0.13
0,24.99,0.67,6.33,61.16,64.67,54.8,0.33,2333443.7,0.81,0.95,0.72,48,85,2,0,0,0,0.38,0.63,0,0,1.33
1,4.99,0.75,2.25,28.66,41.12,16.5,0.49,292932.15,0.72,0.81,0.69,14,27,0,0,0,0,0.67,0.33,0,0,0.25
1,9.99,0.33,0.33,22.35,34.09,7.95,0.39,446523.3,0.54,0.68,0.29,173,430,42,0,0,0,1,0,0,0,0.67
1,9.99,1,3.17,33.77,130.33,6.68,0.35,410459.68,0.61,0.84,0.34,1,4,0,0,0.17,0.17,1,0,0,0,0.17
1,4.99,0.67,35.33,140.98,179,80.75,0.26,266437.13,0.73,0.94,0.38,55,118,0,1,0,0.33,0.68,0.3,0.03,0,0.67
1,9.99,0.33,12.17,134.51,440,13,0.29,1920753.98,1.03,2.21,0.51,166,291,6,0.2,0.17,0.17,0,0,0,0,0
0,4.99,1,66.57,70.08,157.73,2,0.26,114616.12,0.54,0.85,0.1,5,16,0,0,0.29,0.14,0.38,0.38,0.19,0.06,0.29
1,24.99,0.5,40.67,194.26,500,56.67,0.25,394820.83,0.84,0.96,0.7,1073,4948,0,0.1,0.33,0.17,0.37,0.48,0.11,0.03,0.67
0,9.99,0.8,1.6,101.69,212.33,3.6,0.27,306956.39,0.7,1.4,0.25,108,484,0,0,0.4,0.2,0.7,0.1,0.2,0,0.2
0,4.99,0.14,0.14,35.54,118.07,4.55,0.34,253420.3,0.7,0.94,0.43,120,222,43,0,0.29,0.14,0.38,0.5,0.13,0,0
1,9.99,0.67,26,108.26,158.87,70.28,0.41,231492.49,0.81,0.87,0.74,137,229,1,0,0.67,0,0.35,0.5,0.15,0,1
0,4.99,0.67,40,65.94,107.33,38.88,0.35,1638325.38,0.97,1.26,0.71,164,281,1,0.5,0,0,0.55,0.36,0,0.09,0.33
0,24.99,0.67,47.33,139.33,281.12,59.96,0.34,1325137.93,0.8,0.92,0.67,138,240,0,0.67,0,0,0.38,0.46,0.13,0.04,1
0,24.99,0,0,79.46,144.33,30,0.43,40074.77,1.06,1.91,0.67,58857,62289,37256,0,0.25,0,0.5,0.36,0.14,0,1
0,2.99,0.25,1.25,37.2,81.1,10,0.35,652432.48,0.88,1.24,0.54,124,251,0,0,0.25,0,0.75,0,0.25,0,0.25
1,9.99,1,1,24.76,48,10.17,0.35,3601713.17,0.6,0.7,0.45,472,944,0,0,0,0,1,0,0,0,0
0,4.99,0.2,4.6,68.91,105,14,0.44,110275.76,0.73,0.97,0.48,188,435,30,0,0,0,0.58,0.42,0,0,0.6
0,24.99,0.83,1.67,47.71,154.01,0.6,0.31,373127.5,0.49,0.81,0.07,1,2,0,0,0,0.17,0.38,0.38,0.13,0.13,0.17
0,2.99,1,1,20.11,48.18,4.16,0.33,165149.05,0.47,0.57,0.29,4,9,0,0,0,0.33,0,1,0,0,0.33
0,9.99,0,0,100,100,100,0.46,215159.1,0.91,0.99,0.82,510,679,342,1,0,0,0.6,0.3,0.1,0,0.38
0,4.99,1,16.2,52.56,144,12,0.43,291751.45,0.7,0.86,0.36,0,1,0,0,0,0,0.57,0.43,0,0,0
0,9.99,1,10.25,49.54,113.64,2.67,0.31,903112.86,0.58,0.98,0.18,106,316,0,0,0.25,0,0,1,0,0,0
1,9.99,0,0,33.33,64.33,14,0.31,536847.34,0.74,1.03,0.49,155,312,61,0,0.2,0.2,0.75,0.25,0,0,0.4
0,4.99,0.14,0.14,194.06,852.84,50.2,0.34,151447.03,0.97,1.21,0.7,583,880,382,0,0.29,0,0.51,0.38,0.05,0.06,0.86
0,9.99,0.83,25.67,56.5,111.34,3.1,0.42,173644.25,0.61,0.96,0.23,222,876,0,1,0,0,0,0,0,0,0
0,4.99,1,15.57,29.29,95,1.68,0.57,253776.69,0.51,0.88,0.26,0,1,0,0,0.14,0.14,0.17,0.83,0,0,0.29
0,2.99,0,0,24.95,67.52,6.5,0.41,382224.55,0.71,1.1,0.21,52,99,18,0,0.13,0,0.25,0.25,0.25,0.25,0.38
0,4.99,0.14,0.14,41.99,128.67,2,0.32,177175.89,1.15,4.21,0.17,374,574,217,0,0.14,0.14,0.6,0.4,0,0,0.14
0,4.99,1,4.57,67.87,167.5,1.2,0.34,6825455.26,0.68,0.95,0.16,0,1,0,1,0.29,0,0.39,0.48,0.13,0,0.57
1,24.99,0.67,23,609.2,1684.33,48.27,0.33,25585621.49,1.49,2.73,0.77,46,97,0,0.5,0.67,0,0.33,0.5,0,0.17,0.33
1,4.99,0.33,0.33,82.45,141,16.67,0.42,157585,0.98,1.28,0.65,356,441,285,0,0,0,1,0,0,0,0
0,9.99,1,12.71,27.8,60.4,6.13,0.37,330820.46,0.57,0.88,0.38,39,116,0,0,0.29,0,0.25,0.58,0.16,0,0.43
0,4.99,1,11,31.02,102.03,0.6,0.34,234042.59,0.52,0.91,0.09,0,0,0,0,0,0.17,0,0.5,0.5,0,0
1,4.99,0.67,0.33,71.94,123.93,5.33,0.37,1063575.3,0.86,1.39,0.35,62,178,4,0,0.33,0,0.5,0,0.5,0,0
0,4.99,1,40.67,46.44,91.47,16.53,0.29,93224.51,0.57,0.77,0.14,4,12,0,0,0,0,0.43,0.29,0.29,0,0.33
1,4.99,1,1,137.41,295.75,54.13,0.3,4159009.7,0.92,1.43,0.57,63,188,1,0,0.33,0,0.4,0.3,0.3,0,0.67
0,24.99,1,49.6,71.09,102.75,14.52,0.5,1217416.49,0.73,0.91,0.49,0,0,0,0.67,0.2,0,0.33,0.33,0,0.33,0.2
1,4.99,1,5,74.21,140,40,0.33,414386.39,0.79,0.91,0.72,0,0,0,0,0.25,0.25,0.36,0.64,0,0,0.5
0,9.99,0.88,11.5,29.64,79.3,1.67,0.48,443380.34,0.67,0.93,0.43,1,2,0,0,0.25,0.13,0.63,0.38,0,0,0.25
0,24.99,0.5,3.17,104.26,360.5,0.34,0.33,2866747.01,0.78,1.3,0.07,2605,12750,0,0,0.17,0.17,0.44,0.11,0,0.44,0.17
0,24.99,0.4,1,52.44,79,24,0.3,7614993.92,0.72,1.03,0.38,201,515,0,0,0,0,0.25,0,0.25,0.5,0
1,4.99,0.8,3,122,306.67,29.67,0.33,294882.45,0.66,0.87,0.47,4,7,0,0.33,0.4,0,0.21,0.5,0.07,0.21,0.4
0,4.99,0.17,0.33,23.59,55.68,0.1,0.37,294926.56,0.42,0.85,0.01,251,331,157,0,0,0,1,0,0,0,0
0,2.99,0,0,65.6,124.8,20,0.34,168732.59,0.77,1.02,0.5,88,148,26,0,0,0,0.7,0.3,0,0,0
1,4.99,0.4,6,35.36,57.07,5,0.36,185987.11,0.64,1.05,0.2,195,550,6,0,0,0,0.5,0.5,0,0,0.2
1,24.99,0,0,44.23,84.27,4.2,0.32,983492.13,0.71,0.77,0.66,182,186,179,0,0,0,0,0.5,0.5,0,0
0,9.99,0.13,0.25,134.81,207.13,62.5,0.4,672644.86,1,1.18,0.82,300,473,128,0,0,0,0,1,0,0,0.25
1,9.99,0.17,0.33,30,30,30,0.32,1182467.3,0.57,0.57,0.57,0,0,0,0,0,0,0,1,0,0,0.17
1,9.99,1,4.33,96.38,160,21,0.36,1965002.27,0.78,1.02,0.38,136,272,0,0,0.67,0,0,0,0,0,0
1,4.99,1,118.33,63.97,103.5,22.4,0.4,152755.67,0.72,0.8,0.64,38,77,0,0,0.33,0,0.4,0.4,0.1,0.1,0.33
0,4.99,0.33,0.5,32.83,71.3,5,0.51,649966.36,0.76,1.06,0.47,34,114,0,0,0,0.17,0.6,0.4,0,0,0
1,9.99,0.25,0.5,135.62,412.17,8,0.33,2322025.37,1.08,1.73,0.65,252,525,91,0,0.25,0,0.71,0.29,0,0,0
1,9.99,1,61.33,66.13,128.5,2.7,0.35,630639.25,0.65,0.9,0.31,0,0,0,0,0,0,0.6,0.2,0.2,0,0.33
0,9.99,1,21.33,42.67,98.67,0.13,0.35,319091.17,0.5,0.85,0.01,0,0,0,0,0,0,0,0,1,0,0
0,9.99,1,23.17,306.81,1666.67,0,0.27,547048.86,0.63,2.15,0,1384,2768,0,0,0,0,0.27,0.55,0.09,0.09,0.33
0,9.99,1,7.14,48.32,94,3,0.36,438057.37,0.74,1.28,0.27,149,479,0,0,0.43,0.14,0.47,0.47,0.07,0,0.57
1,9.99,1,56,118.42,320.67,5.17,0.43,1648814.43,0.71,0.94,0.4,432,1296,0,0,0.33,0,0.18,0,0,0.82,0.83
0,4.99,0,0,78.91,155.13,29.5,0.38,3082401.91,0.88,1.05,0.55,165,322,24,0.44,0,0,0.43,0.43,0.11,0.04,0.75
0,4.99,0.63,2.75,69.36,233.5,2.4,0.32,2554992.27,0.71,1.12,0.28,83,475,0,1,0.25,0,0.46,0.36,0.18,0,0.13
1,24.99,0,0,43.12,58.87,22.36,0.35,1889725.38,0.86,1.07,0.66,373,874,46,0,0,0,0.57,0.21,0.21,0,0
0,4.99,0.5,6.33,86.65,208.53,1.73,0.39,414336.97,0.61,1.02,0.18,70,172,0,0,0.33,0,0.33,0.42,0.25,0,0.33
1,4.99,0.67,0.33,40.73,50,31.45,0.36,395958.24,0.78,0.85,0.71,29,59,0,0,0.33,0,0,1,0,0,0
0,4.99,0.8,0.6,57.08,132.53,8.87,0.34,507031.39,0.71,0.92,0.5,26,53,0,0,0.2,0.2,0.75,0.13,0.13,0,0
0,2.99,0.67,1.17,19.39,51,1.64,0.55,234083.34,0.51,0.82,0.22,20,72,0,0,0,0,0,0.67,0.33,0,0
0,4.99,0,0,76.69,126.73,22.2,0.36,40181.68,0.83,1.28,0.6,738,907,562,0,0,0,0.71,0,0.29,0,0.13
0,2.99,0.83,11.17,54,96.6,12.54,0.39,62147.32,0.69,0.97,0.51,42,154,0,0,0.33,0.17,0.5,0.38,0.13,0,0.5
0,9.99,0.4,0.2,51.21,129,1.6,0.25,6433298.4,0.67,1.47,0.18,15,45,0,0,0.2,0.2,0.5,0.5,0,0,0.2
1,4.99,1,107,69.16,114.87,14.87,0.38,101713.29,0.75,0.81,0.7,3,8,0,0,0,0,0.17,0.58,0.25,0,0
0,4.99,0.33,45.67,636.2,917.5,137,0.41,3679944.7,1.21,1.39,1.05,1002,1866,289,0,0.67,0,0,0,0,0,0
1,4.99,0.67,7.33,55.96,93.67,16.5,0.37,187711.51,0.9,1.13,0.67,356,887,0,0,0.17,0.17,0.45,0.34,0.17,0.03,0.67
0,4.99,0.75,1.25,54.2,119.47,18.13,0.41,427224.61,0.73,0.89,0.56,41,123,0,0,0,0,0.17,0.5,0.34,0,0
1,24.99,1,2.67,88.33,107.4,61.25,0.35,2605436.73,0.83,0.85,0.8,62,187,0,0,0,0,0.71,0.29,0,0,0.67
1,4.99,0.2,15,105.74,264.27,50.5,0.34,298786.47,0.82,1.1,0.68,263,697,9,0,0,0,0,0,0,0,0
1,9.99,1,56.33,157.69,428.25,5.87,0.33,1581815.27,0.63,0.94,0.3,4,9,0,1,0,0,0.53,0.29,0.18,0,0.67
0,4.99,0.67,1,15,25,5,0.37,469080.08,0.52,0.62,0.42,1,3,0,0,0,0,0,1,0,0,0.33
