is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,1,379.38,53.23,228.45,7.24,0.51,405542.51,0.87,0.94,0.76,6,12,0,0,0,0,0.6,0.2,0.2,0,0.5
1,49.99,0,0,88.94,173.64,56.33,0.32,1104549.12,0.85,1.1,0.63,2412,5272,601,1,0,0,0.21,0.32,0.08,0.4,1
0,9.99,0,0,67.73,118,1,0.29,975811.27,1.01,2.96,0.11,251,527,77,0,0.25,0.13,0.07,0.29,0.07,0.57,0.63
1,4.99,1,361,110.16,139,85.13,0.32,220971,0.75,0.81,0.67,30,78,1,0,0,0,0.5,0.5,0,0,0
0,4.99,0.88,104.25,119.94,205.7,66.67,0.35,111762.64,0.92,1.5,0.69,119,402,0,0,0.13,0.13,0,0,0,0,0
0,4.99,0.83,9.33,39.68,110.01,3.33,0.36,1222050.64,0.63,1.11,0.22,89,179,0,0,0.33,0,0.63,0.38,0,0,0
1,4.99,0.67,2,34.5,50,19,0.55,212081.09,0.69,0.76,0.63,8,14,2,0,0.33,0.33,0.67,0.33,0,0,0.33
0,9.99,0.6,181.8,114.74,250,54.82,0.37,199010.3,0.79,0.85,0.69,29,59,0,0,0.4,0,0.38,0.48,0.14,0,0.8
0,4.99,0.25,2.75,77.31,147.5,36.78,0.37,1062501.78,0.93,1.31,0.54,162,419,37,0,0.25,0,0.4,0.3,0.2,0.1,0.5
1,4.99,0.33,91,83.93,114.2,36.6,0.43,514785.03,0.93,1,0.82,287,600,74,0,0.67,0,0.5,0.3,0.1,0.1,0.33
0,4.99,0.13,0.25,78.83,130.63,16.8,0.41,434728.54,0.87,1.06,0.64,3134,5138,130,0.25,0.13,0.13,0.21,0.56,0.21,0.03,0.63
1,4.99,0.67,99.17,94.9,199,52.27,0.39,243420.04,0.82,1.07,0.53,183,350,0,0.33,0,0,0.46,0.41,0.13,0,1
0,9.99,0,0,19.73,29.18,5,0.43,3420371.22,0.82,1.12,0.64,150,399,10,0,0.33,0,0.5,0,0.5,0,0.33
0,4.99,0.33,0.67,121.33,166,98,0.37,677481.17,0.87,0.96,0.79,127,159,83,0,0.33,0.33,0.5,0.17,0.33,0,0
0,9.99,0.67,1.67,106.03,212.07,0,0.29,769213.99,0.4,0.8,0,1,2,0,0,0,0,0,1,0,0,0
0,4.99,0.5,0.25,35.02,64.8,2.3,0.44,1719511.07,0.79,0.98,0.51,23,35,0,0,0,0,0,1,0,0,0
1,24.99,0.4,1,94.14,220.12,10,0.39,10679496.68,0.91,1.16,0.58,180,407,0,0.2,0,0,0.46,0.38,0.08,0.08,0.6
0,4.99,0.25,0.25,97.42,121.67,84.75,0.31,1337639.12,1.01,1.05,0.94,256,402,55,0,0,0,0,0,0,0,0
0,4.99,0,0,73.28,129.5,25,0.41,247806.73,1.02,1.54,0.57,148,199,103,0,0,0,0.4,0,0,0.6,0.2
1,9.99,0.4,0.2,90.68,134.67,32.83,0.34,143021.32,0.81,1.15,0.51,290,893,1,0,0.2,0,0.17,0,0,0.83,0.2
0,9.99,0.5,6.75,55.31,144.5,1.5,0.39,556168.29,0.86,1.58,0.17,85,305,0,0.33,0.13,0.13,0.38,0.09,0.09,0.44,0.5
1,9.99,1,1.67,71.4,141.6,0.6,0.34,481227.91,0.55,0.89,0.1,18,35,1,0,0,0,0.04,0.04,0.12,0.8,0.67
0,4.99,1,5,62.24,68,54.93,0.37,1547201.85,0.86,1.08,0.61,50,100,0,0,0.33,0.33,0.5,0.5,0,0,0
0,4.99,0.33,2,41.07,41.07,41.07,0.45,287360.57,0.8,0.8,0.8,30,30,30,0,0,0,0,0,0,0,0.33
0,2.99,0.67,50,61.66,122.6,21.18,0.37,54337,0.93,1.56,0.54,30,61,0,0,0,0,0.2,0.2,0.4,0.2,0
0,4.99,0.33,0.33,27.82,53.33,14.14,0.39,1462460.87,0.87,1.05,0.55,46,65,29,0,0,0,0.4,0.2,0.2,0.2,0
0,4.99,0,0,70.17,70.17,70.17,0.32,502343.37,0.53,0.53,0.53,38,38,38,0,0,0,0,1,0,0,0
0,4.99,0.8,1.6,58.04,125.8,0.4,0.26,122036.72,0.58,0.87,0.08,21,43,0,0,0,0,1,0,0,0,0
